iter	Passed	Remaining
0	146	146072
1	184	92245
2	222	73869
3	257	64113
4	268	53517
5	304	50449
6	341	48403
7	380	47162
8	421	46444
9	457	45309
10	495	44569
11	531	43789
12	581	44135
13	632	44529
14	670	44003
15	707	43497
16	744	43068
17	783	42760
18	821	42421
19	858	42080
20	896	41794
21	934	41530
22	958	40729
23	995	40490
24	1031	40217
25	1067	39978
26	1105	39828
27	1144	39714
28	1182	39609
29	1219	39445
30	1256	39274
31	1292	39100
32	1329	38955
33	1365	38797
34	1405	38762
35	1442	38639
36	1478	38484
37	1517	38411
38	1555	38318
39	1595	38294
40	1635	38253
41	1672	38139
42	1708	38014
43	1744	37909
44	1781	37812
45	1818	37711
46	1854	37609
47	1890	37487
48	1926	37388
49	1963	37312
50	1998	37196
51	2035	37107
52	2070	36997
53	2106	36899
54	2141	36800
55	2177	36706
56	2213	36625
57	2249	36542
58	2286	36464
59	2323	36404
60	2360	36332
61	2397	36271
62	2433	36186
63	2471	36143
64	2507	36074
65	2543	35989
66	2578	35913
67	2615	35842
68	2650	35759
69	2685	35681
70	2722	35618
71	2758	35554
72	2794	35482
73	2831	35435
74	2867	35371
75	2905	35320
76	2942	35270
77	2979	35215
78	3015	35158
79	3053	35115
80	3090	35058
81	3126	34996
82	3162	34941
83	3199	34891
84	3235	34833
85	3270	34757
86	3307	34712
87	3345	34675
88	3384	34639
89	3420	34586
90	3458	34544
91	3494	34492
92	3528	34416
93	3565	34368
94	3601	34310
95	3638	34261
96	3675	34213
97	3712	34167
98	3748	34118
99	3786	34081
100	3825	34051
101	3864	34022
102	3902	33988
103	3941	33958
104	3977	33903
105	4013	33845
106	4049	33797
107	4085	33746
108	4122	33699
109	4159	33656
110	4195	33599
111	4231	33551
112	4268	33504
113	4306	33471
114	4344	33435
115	4381	33386
116	4417	33342
117	4455	33304
118	4493	33263
119	4528	33209
120	4564	33156
121	4601	33113
122	4637	33063
123	4674	33020
124	4710	32974
125	4746	32925
126	4783	32879
127	4820	32838
128	4857	32798
129	4893	32748
130	4929	32703
131	4966	32660
132	5004	32623
133	5039	32570
134	5075	32523
135	5113	32485
136	5148	32433
137	5187	32401
138	5222	32351
139	5260	32311
140	5296	32267
141	5332	32220
142	5370	32182
143	5406	32140
144	5444	32102
145	5480	32056
146	5516	32008
147	5552	31966
148	5589	31923
149	5626	31881
150	5661	31833
151	5697	31785
152	5734	31743
153	5770	31701
154	5807	31657
155	5842	31610
156	5878	31563
157	5915	31521
158	5951	31478
159	5989	31442
160	6025	31398
161	6062	31359
162	6099	31321
163	6136	31282
164	6174	31247
165	6210	31203
166	6248	31167
167	6284	31123
168	6322	31089
169	6359	31051
170	6397	31014
171	6433	30970
172	6470	30932
173	6505	30883
174	6541	30838
175	6577	30795
176	6613	30749
177	6649	30706
178	6685	30663
179	6721	30620
180	6757	30578
181	6794	30537
182	6829	30489
183	6866	30453
184	6902	30408
185	6939	30370
186	6976	30331
187	7012	30289
188	7048	30246
189	7084	30203
190	7121	30165
191	7159	30130
192	7197	30094
193	7233	30052
194	7271	30017
195	7308	29979
196	7345	29939
197	7382	29902
198	7419	29866
199	7456	29826
200	7491	29777
201	7530	29748
202	7569	29720
203	7604	29671
204	7639	29626
205	7675	29584
206	7713	29548
207	7748	29505
208	7784	29463
209	7820	29420
210	7857	29383
211	7894	29345
212	7933	29312
213	7969	29272
214	8007	29235
215	8043	29193
216	8078	29149
217	8115	29111
218	8152	29072
219	8190	29040
220	8226	28997
221	8262	28955
222	8298	28915
223	8336	28880
224	8373	28840
225	8414	28817
226	8451	28779
227	8492	28755
228	8527	28711
229	8564	28672
230	8601	28634
231	8637	28592
232	8674	28553
233	8710	28514
234	8747	28475
235	8784	28439
236	8822	28402
237	8858	28362
238	8895	28324
239	8932	28286
240	8968	28244
241	9005	28206
242	9041	28165
243	9077	28123
244	9116	28092
245	9152	28051
246	9187	28007
247	9223	27968
248	9260	27930
249	9295	27887
250	9332	27848
251	9368	27808
252	9405	27769
253	9441	27730
254	9477	27688
255	9512	27644
256	9550	27610
257	9586	27569
258	9621	27528
259	9657	27485
260	9694	27448
261	9729	27407
262	9765	27365
263	9802	27327
264	9837	27285
265	9873	27246
266	9909	27205
267	9945	27165
268	9982	27126
269	10017	27084
270	10053	27044
271	10088	27002
272	10125	26964
273	10161	26923
274	10197	26885
275	10234	26846
276	10271	26810
277	10307	26769
278	10343	26730
279	10379	26690
280	10417	26654
281	10452	26613
282	10489	26575
283	10525	26537
284	10562	26500
285	10600	26464
286	10638	26430
287	10677	26395
288	10717	26366
289	10752	26324
290	10788	26284
291	10824	26246
292	10862	26209
293	10899	26174
294	10935	26134
295	10970	26092
296	11006	26051
297	11041	26009
298	11078	25973
299	11115	25936
300	11150	25894
301	11185	25853
302	11222	25815
303	11258	25776
304	11294	25736
305	11331	25700
306	11370	25666
307	11409	25635
308	11445	25594
309	11481	25556
310	11518	25518
311	11554	25478
312	11591	25440
313	11628	25404
314	11663	25364
315	11699	25324
316	11736	25287
317	11773	25251
318	11808	25209
319	11845	25172
320	11882	25134
321	11919	25097
322	11956	25059
323	11992	25021
324	12027	24980
325	12065	24944
326	12102	24908
327	12138	24869
328	12175	24831
329	12212	24794
330	12248	24756
331	12283	24715
332	12319	24675
333	12356	24638
334	12396	24607
335	12431	24567
336	12468	24530
337	12504	24490
338	12541	24453
339	12578	24417
340	12616	24382
341	12653	24344
342	12690	24308
343	12726	24268
344	12780	24264
345	12819	24231
346	12856	24194
347	12893	24156
348	12933	24124
349	12970	24088
350	13009	24054
351	13045	24015
352	13082	23978
353	13120	23942
354	13157	23906
355	13194	23868
356	13231	23831
357	13269	23796
358	13305	23757
359	13341	23717
360	13377	23679
361	13414	23641
362	13450	23602
363	13486	23564
364	13522	23525
365	13559	23487
366	13595	23450
367	13631	23411
368	13667	23371
369	13704	23334
370	13741	23297
371	13778	23260
372	13813	23220
373	13850	23182
374	13887	23145
375	13924	23108
376	13959	23069
377	13996	23031
378	14032	22992
379	14069	22954
380	14105	22917
381	14143	22881
382	14180	22843
383	14216	22805
384	14253	22767
385	14289	22730
386	14326	22692
387	14363	22655
388	14401	22620
389	14436	22579
390	14472	22541
391	14508	22503
392	14545	22465
393	14580	22426
394	14617	22389
395	14654	22352
396	14691	22314
397	14727	22276
398	14765	22240
399	14801	22202
400	14838	22165
401	14874	22127
402	14913	22092
403	14949	22054
404	14986	22017
405	15023	21980
406	15061	21944
407	15098	21907
408	15136	21871
409	15174	21836
410	15212	21800
411	15250	21765
412	15287	21728
413	15323	21689
414	15359	21651
415	15396	21614
416	15433	21577
417	15469	21538
418	15506	21501
419	15542	21463
420	15583	21431
421	15629	21406
422	15668	21372
423	15706	21337
424	15745	21302
425	15781	21264
426	15818	21227
427	15855	21189
428	15893	21153
429	15928	21114
430	15965	21077
431	16001	21038
432	16037	21000
433	16075	20964
434	16113	20929
435	16150	20891
436	16186	20853
437	16222	20815
438	16260	20779
439	16296	20741
440	16334	20705
441	16372	20669
442	16408	20630
443	16444	20592
444	16480	20554
445	16518	20518
446	16556	20482
447	16592	20444
448	16629	20407
449	16666	20370
450	16702	20331
451	16738	20293
452	16773	20254
453	16811	20217
454	16848	20181
455	16885	20144
456	16921	20105
457	16958	20068
458	16995	20032
459	17032	19995
460	17070	19958
461	17107	19921
462	17142	19882
463	17179	19845
464	17215	19807
465	17253	19771
466	17289	19733
467	17325	19695
468	17364	19660
469	17401	19622
470	17442	19590
471	17480	19554
472	17519	19519
473	17556	19482
474	17593	19445
475	17629	19406
476	17668	19372
477	17706	19336
478	17742	19297
479	17778	19260
480	17816	19223
481	17851	19185
482	17889	19148
483	17925	19111
484	17963	19074
485	17999	19036
486	18036	18999
487	18074	18963
488	18109	18924
489	18146	18887
490	18184	18851
491	18220	18813
492	18256	18775
493	18292	18737
494	18329	18699
495	18367	18664
496	18404	18626
497	18441	18589
498	18479	18553
499	18515	18515
500	18551	18477
501	18587	18439
502	18623	18401
503	18659	18363
504	18699	18329
505	18735	18291
506	18770	18252
507	18808	18216
508	18844	18178
509	18880	18140
510	18917	18103
511	18952	18064
512	18987	18025
513	19024	17987
514	19060	17950
515	19096	17912
516	19132	17874
517	19170	17837
518	19208	17802
519	19244	17764
520	19280	17726
521	19317	17689
522	19354	17652
523	19389	17613
524	19426	17576
525	19462	17538
526	19498	17500
527	19537	17465
528	19574	17428
529	19610	17390
530	19649	17355
531	19687	17318
532	19725	17282
533	19762	17246
534	19800	17209
535	19836	17171
536	19871	17133
537	19907	17095
538	19945	17058
539	19980	17020
540	20017	16983
541	20053	16945
542	20090	16908
543	20125	16869
544	20165	16835
545	20203	16799
546	20238	16760
547	20273	16721
548	20309	16683
549	20345	16646
550	20378	16606
551	20413	16567
552	20448	16529
553	20485	16492
554	20523	16456
555	20560	16419
556	20598	16382
557	20635	16345
558	20672	16308
559	20709	16271
560	20746	16234
561	20781	16196
562	20818	16159
563	20855	16122
564	20891	16084
565	20927	16046
566	20963	16009
567	21000	15972
568	21037	15935
569	21072	15896
570	21110	15860
571	21147	15823
572	21183	15786
573	21220	15749
574	21256	15711
575	21292	15673
576	21329	15636
577	21363	15597
578	21397	15558
579	21434	15521
580	21471	15484
581	21507	15447
582	21544	15409
583	21580	15372
584	21617	15335
585	21653	15297
586	21690	15260
587	21728	15224
588	21764	15186
589	21800	15149
590	21836	15112
591	21873	15075
592	21909	15037
593	21946	15000
594	21985	14964
595	22023	14928
596	22061	14892
597	22098	14855
598	22134	14818
599	22171	14780
600	22206	14743
601	22243	14705
602	22280	14669
603	22316	14631
604	22351	14593
605	22387	14555
606	22424	14518
607	22461	14481
608	22497	14444
609	22534	14407
610	22571	14370
611	22607	14332
612	22644	14296
613	22681	14259
614	22717	14221
615	22755	14185
616	22791	14147
617	22829	14111
618	22866	14074
619	22903	14037
620	22940	14000
621	22977	13963
622	23015	13927
623	23052	13890
624	23090	13854
625	23127	13817
626	23164	13780
627	23200	13742
628	23238	13706
629	23275	13669
630	23313	13633
631	23348	13595
632	23385	13558
633	23421	13521
634	23458	13484
635	23495	13446
636	23533	13410
637	23569	13373
638	23606	13336
639	23644	13300
640	23681	13263
641	23719	13226
642	23755	13189
643	23793	13153
644	23831	13116
645	23869	13080
646	23906	13043
647	23942	13005
648	23980	12969
649	24016	12932
650	24053	12894
651	24092	12859
652	24130	12822
653	24166	12785
654	24203	12748
655	24240	12711
656	24278	12674
657	24315	12638
658	24351	12600
659	24386	12562
660	24422	12525
661	24458	12488
662	24495	12451
663	24531	12413
664	24566	12375
665	24602	12338
666	24640	12301
667	24676	12264
668	24713	12227
669	24751	12190
670	24788	12154
671	24823	12116
672	24860	12079
673	24898	12042
674	24935	12005
675	24971	11968
676	25009	11932
677	25047	11895
678	25084	11858
679	25121	11821
680	25158	11784
681	25195	11747
682	25232	11711
683	25271	11675
684	25312	11640
685	25347	11602
686	25383	11564
687	25421	11528
688	25461	11492
689	25510	11461
690	25550	11425
691	25587	11388
692	25624	11351
693	25660	11314
694	25696	11276
695	25732	11239
696	25770	11203
697	25808	11166
698	25844	11129
699	25882	11092
700	25917	11054
701	25954	11017
702	25990	10980
703	26025	10942
704	26060	10904
705	26096	10867
706	26133	10830
707	26170	10793
708	26205	10755
709	26241	10718
710	26287	10684
711	26323	10647
712	26359	10610
713	26397	10573
714	26434	10536
715	26472	10500
716	26508	10462
717	26547	10426
718	26584	10389
719	26621	10352
720	26657	10315
721	26694	10278
722	26733	10242
723	26770	10205
724	26806	10167
725	26843	10130
726	26879	10093
727	26916	10056
728	26952	10019
729	26988	9982
730	27026	9945
731	27061	9907
732	27099	9871
733	27136	9834
734	27173	9797
735	27210	9760
736	27247	9723
737	27285	9686
738	27321	9649
739	27357	9611
740	27392	9574
741	27428	9537
742	27465	9500
743	27501	9462
744	27537	9425
745	27572	9388
746	27609	9350
747	27646	9314
748	27682	9276
749	27719	9239
750	27755	9202
751	27793	9165
752	27828	9128
753	27864	9091
754	27901	9054
755	27938	9017
756	27975	8980
757	28012	8943
758	28049	8906
759	28087	8869
760	28123	8832
761	28162	8796
762	28199	8759
763	28236	8722
764	28274	8685
765	28308	8647
766	28345	8610
767	28380	8573
768	28417	8536
769	28453	8499
770	28490	8462
771	28527	8425
772	28562	8387
773	28599	8350
774	28636	8313
775	28672	8276
776	28709	8239
777	28745	8202
778	28783	8165
779	28823	8129
780	28861	8093
781	28898	8056
782	28933	8018
783	28968	7981
784	29005	7944
785	29039	7906
786	29076	7869
787	29113	7832
788	29150	7795
789	29187	7758
790	29224	7721
791	29261	7684
792	29295	7647
793	29330	7609
794	29366	7572
795	29402	7535
796	29440	7498
797	29476	7461
798	29512	7424
799	29548	7387
800	29583	7349
801	29620	7312
802	29658	7276
803	29695	7239
804	29731	7202
805	29768	7165
806	29803	7127
807	29839	7090
808	29875	7053
809	29910	7016
810	29948	6979
811	29986	6942
812	30023	6905
813	30060	6868
814	30096	6831
815	30135	6795
816	30175	6758
817	30210	6721
818	30247	6684
819	30282	6647
820	30317	6610
821	30354	6573
822	30390	6535
823	30426	6498
824	30463	6461
825	30500	6424
826	30537	6388
827	30572	6350
828	30608	6313
829	30645	6276
830	30681	6239
831	30716	6202
832	30752	6165
833	30790	6128
834	30825	6091
835	30860	6053
836	30896	6016
837	30931	5979
838	30965	5942
839	31001	5905
840	31040	5868
841	31077	5831
842	31113	5794
843	31148	5757
844	31185	5720
845	31221	5683
846	31256	5646
847	31291	5608
848	31327	5571
849	31365	5535
850	31401	5498
851	31437	5460
852	31473	5423
853	31509	5386
854	31546	5350
855	31583	5313
856	31619	5276
857	31658	5239
858	31693	5202
859	31730	5165
860	31766	5128
861	31801	5091
862	31837	5054
863	31875	5017
864	31911	4980
865	31948	4943
866	31986	4906
867	32021	4869
868	32058	4832
869	32094	4795
870	32132	4758
871	32169	4722
872	32205	4685
873	32243	4648
874	32278	4611
875	32314	4574
876	32351	4537
877	32389	4500
878	32425	4463
879	32463	4426
880	32499	4389
881	32535	4352
882	32572	4315
883	32608	4278
884	32643	4241
885	32679	4204
886	32717	4168
887	32752	4130
888	32789	4094
889	32825	4057
890	32862	4020
891	32898	3983
892	32934	3946
893	32972	3909
894	33007	3872
895	33041	3835
896	33076	3798
897	33113	3761
898	33148	3724
899	33183	3687
900	33223	3650
901	33259	3613
902	33294	3576
903	33331	3539
904	33371	3503
905	33408	3466
906	33445	3429
907	33482	3392
908	33519	3355
909	33556	3318
910	33593	3281
911	33629	3244
912	33665	3208
913	33703	3171
914	33738	3134
915	33775	3097
916	33811	3060
917	33847	3023
918	33884	2986
919	33919	2949
920	33957	2912
921	33994	2875
922	34030	2838
923	34066	2801
924	34103	2765
925	34139	2728
926	34175	2691
927	34211	2654
928	34244	2617
929	34281	2580
930	34318	2543
931	34353	2506
932	34388	2469
933	34425	2432
934	34461	2395
935	34497	2358
936	34534	2321
937	34570	2285
938	34606	2248
939	34641	2211
940	34678	2174
941	34717	2137
942	34753	2100
943	34788	2063
944	34824	2026
945	34860	1989
946	34895	1952
947	34931	1916
948	34969	1879
949	35005	1842
950	35041	1805
951	35076	1768
952	35111	1731
953	35148	1694
954	35186	1657
955	35222	1621
956	35258	1584
957	35294	1547
958	35330	1510
959	35366	1473
960	35403	1436
961	35439	1399
962	35473	1362
963	35509	1326
964	35544	1289
965	35582	1252
966	35618	1215
967	35657	1178
968	35694	1141
969	35731	1105
970	35768	1068
971	35804	1031
972	35840	994
973	35875	957
974	35910	920
975	35945	883
976	35981	847
977	36015	810
978	36049	773
979	36086	736
980	36122	699
981	36158	662
982	36194	625
983	36231	589
984	36267	552
985	36302	515
986	36339	478
987	36375	441
988	36412	404
